instance,drone_capacity,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,4,3,1,418.0,"[[[[0, [15, 17, 18, 19, 14, 23, 26, 28, 30, 13, 22]], [20, [20, 21, 16]], [21, []], [13, []], [17, [12, 27]], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]], [[0, [1, 5]], [5, []], [2, [2, 4, 10]], [1, []], [7, [7, 8]], [3, [3]], [4, []], [10, []], [8, []], [11, [11]], [9, [9, 6]], [25, [25, 24]], [29, [29]], [6, []], [24, []]]], [[[2, [2]]], [[2, [4, 10]]], [[7, [7, 8]]], [[20, [20, 21, 16]]], [[3, [3]]], [[17, [12, 27]]], [[11, [11]]], [[9, [9, 6]]], [[25, [25, 24]]], [[29, [29]]]]]",452.7630546142402,"[[[[0, [30, 1, 13, 7, 5, 4]], [27, [27]], [30, []], [25, [25, 17]], [17, []], [13, []], [1, []], [7, []], [4, []], [3, [3]], [2, [2]], [5, []]], [[0, [14, 16, 18, 23, 26, 28, 19, 22, 24]], [10, [10]], [11, [11]], [9, [9, 12]], [12, []], [14, []], [16, []], [15, [15, 6, 20]], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, [29, 21, 8]], [24, []], [20, []], [22, []], [21, []], [8, []]]], [[[27, [27]], [10, [10]]], [[11, [11]]], [[9, [9, 12]]], [[25, [25, 17]]], [[15, [15, 6, 20]]], [[29, [29]]], [[3, [3]]], [[29, [21, 8]]], [[2, [2]]]]]",809.586,OK
test_data\data_demand_random\30\C201_0.5.dat,4,3,2,411.0,"[[[[0, [19, 14, 23, 28, 16, 26, 30, 17, 18, 9, 15, 12, 13]], [8, [8, 20, 21]], [9, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [21, []], [20, []]], [[0, [5, 7, 10, 4, 11, 22]], [5, [1]], [4, []], [3, [3, 6]], [7, []], [1, []], [2, [2]], [11, []], [10, []], [25, [25, 27, 24]], [27, []], [29, [29]], [6, []], [24, []], [22, []]]], [[[5, [1]]], [[8, [8, 20, 21]]], [[3, [3]]], [[3, [6]]], [[2, [2]]], [[25, [25, 27, 24]]], [[29, [29]]]]]",,None,774.7,OK
test_data\data_demand_random\30\C201_0.5.dat,4,3,3,404.0,"[[[[0, [13, 16, 19, 17, 23, 14, 18, 26, 30, 28, 22, 9]], [21, [21, 12, 15, 27, 20]], [9, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []], [20, []]], [[0, [5, 1]], [5, []], [2, [2, 4, 7]], [1, []], [3, [3]], [4, []], [7, []], [11, [11, 24, 10]], [10, []], [8, [8, 25, 6]], [25, []], [29, [29]], [6, []], [24, []]]], [[[21, [21]]], [[2, [4, 7]]], [[2, [2]]], [[3, [3]]], [[21, [12, 15, 27, 20]]], [[11, [11]]], [[11, [24, 10]]], [[8, [8, 25, 6]]], [[29, [29]]]]]",469.6619037896906,"[[[[0, [14, 16, 13, 18, 23, 26, 28, 30]], [20, [20, 17]], [9, [9, 12]], [14, []], [16, []], [12, []], [13, []], [17, []], [18, []], [23, []], [26, []], [28, []], [6, [6]], [30, []], [29, [29]]], [[0, [22, 11, 1, 5, 4]], [22, []], [21, [21, 8]], [8, []], [11, []], [2, [2]], [1, []], [7, [7, 10]], [3, [3, 15, 27, 24]], [4, []], [5, []], [10, []], [25, [25, 19]], [15, []], [19, []], [27, []], [24, []]]], [[[20, [20, 17]]], [[21, [21, 8]]], [[2, [2]]], [[7, [7, 10]]], [[9, [9, 12]]], [[3, [3]]], [[3, [15, 27, 24]]], [[6, [6]], [25, [25, 19]]], [[29, [29]]]]]",864.57,OK
test_data\data_demand_random\30\C201_0.5.dat,4,3,4,413.0,"[[[[0, [13, 18, 23, 26, 28, 30, 19, 22, 15, 17, 14]], [20, [20, 25, 27, 24, 16]], [22, []], [9, [9, 12]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [23, []], [26, []], [28, []], [30, []], [27, []], [24, []]], [[0, [5, 2, 1]], [10, [10, 4]], [5, []], [2, []], [1, []], [4, []], [3, [3]], [7, [7]], [11, [11]], [8, [8, 6, 21]], [21, []], [6, []], [29, [29]]]], [[[10, [10, 4]]], [[20, [20, 16]]], [[20, [25, 27, 24]]], [[9, [9, 12]]], [[3, [3]]], [[7, [7]]], [[11, [11]]], [[8, [8, 6, 21]]], [[29, [29]]]]]",453.0,"[[[[0, [11, 1, 5]], [21, [21]], [24, [24, 4]], [8, [8]], [11, []], [5, []], [4, []], [3, [3, 10, 7]], [7, []], [1, []], [2, [2]], [9, [9]], [10, []]], [[0, [22, 17, 26, 28, 30, 16, 13, 23, 18, 14, 15]], [22, [25, 19, 27, 6, 20, 12]], [27, []], [30, []], [25, []], [13, []], [17, []], [15, []], [16, []], [12, []], [14, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [20, []]]], [[[21, [21]]], [[22, [19]]], [[22, [12]], [24, [24, 4]]], [[22, [25, 27, 6, 20]]], [[29, [29]]], [[8, [8]]], [[3, [3]]], [[3, [10, 7]]], [[2, [2]]], [[9, [9]]]]]",929.36,OK
test_data\data_demand_random\30\C201_0.5.dat,4,3,5,401.0,"[[[[0, [5, 13, 1, 2]], [5, []], [2, []], [7, [7, 4]], [3, [3]], [4, []], [1, []], [13, []], [17, [17, 25]], [25, []], [27, [27, 6, 20]], [29, [29, 24]], [6, []], [24, []], [20, []]], [[0, [11, 16, 18, 23, 26, 28, 14, 19, 30, 10, 22]], [8, [8, 15, 21]], [10, []], [11, []], [9, [9, 12]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [21, []], [22, []]]], [[[7, [7, 4]]], [[8, [8, 15, 21]]], [[3, [3]]], [[9, [9, 12]]], [[17, [17, 25]]], [[27, [27, 6, 20]]], [[29, [29]]], [[29, [24]]]]]",420.0,"[[[[0, [22, 5, 1]], [5, [3]], [1, []], [3, []], [4, [4]], [7, [7, 21]], [2, [2]], [11, [11]], [8, [8, 6, 27]], [21, []], [22, []], [27, []], [6, []], [29, [29]], [24, [24]]], [[0, [19, 18, 23, 26, 28, 16, 14, 13, 30, 9, 17]], [10, [10, 25, 12, 15, 20]], [9, []], [25, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [20, []]]], [[[5, [3]]], [[10, [10]], [4, [4]]], [[10, [25, 12, 15, 20]]], [[7, [7, 21]]], [[2, [2]]], [[11, [11]]], [[8, [8, 6, 27]]], [[29, [29]]], [[24, [24]]]]]",727.104,OK
test_data\data_demand_random\30\C201_0.5.dat,8,1,1,379.0,"[[[[0, [1]], [2, [2, 26, 23]], [1, []], [7, [7, 3, 4]], [3, []], [4, []], [23, []], [26, []], [28, [28, 6, 20]], [6, []], [20, []]], [[0, []], [5, [5, 16]], [21, [21, 11]], [8, [8, 15, 18, 14, 27, 10]], [10, []], [11, []], [9, [9, 19, 12, 22, 13]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 30, 24, 25, 29]], [13, []], [25, []], [30, []], [29, []], [27, []], [22, []], [24, []]]], [[[5, [5, 16]]], [[2, [2, 26, 23]]], [[21, [21, 11]]], [[7, [7, 3, 4]]], [[8, [18, 27, 10]]], [[8, [8, 15, 14]]], [[9, [13]]], [[9, [22]]], [[9, [9, 19, 12]]], [[28, [28, 6, 20]]], [[17, [30, 24]]], [[17, [17, 25, 29]]]]]",,None,424.328,OK
test_data\data_demand_random\30\C201_0.5.dat,8,1,2,382.6155281280883,"[[[[0, []], [5, [5, 26]], [2, [2, 19, 11, 10, 16, 23]], [10, []], [11, []], [9, [9, 18, 14, 20]], [12, [12, 15, 6, 28]], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [20, []]], [[0, [13, 1]], [7, [7, 4, 3]], [4, []], [3, []], [1, []], [17, [17, 21, 24]], [13, []], [25, [25, 30, 8]], [30, []], [27, [27, 22]], [24, []], [22, []], [21, []], [8, []]]], [[[5, [5, 26]]], [[2, [2, 11]]], [[2, [19, 10, 16, 23]]], [[7, [7, 4, 3]]], [[9, [14, 20]]], [[9, [9, 18]]], [[12, [12, 15, 6, 28]]], [[29, [29]]], [[17, [17, 21, 24]]], [[25, [25, 30, 8]]], [[27, [27, 22]]]]]",,None,270.159,OK
test_data\data_demand_random\30\C201_0.5.dat,8,1,3,382.0,"[[[[0, [1]], [5, [5, 4]], [2, [2]], [7, [7, 3]], [3, []], [4, []], [1, []], [12, [12, 15, 13, 16, 14, 10]], [14, []], [16, []], [15, []], [13, []], [9, [9, 8, 21]], [10, []], [8, []], [21, []]], [[0, []], [11, [11, 19]], [19, []], [18, [18, 26]], [17, [17, 6, 29]], [25, [25, 28, 23]], [23, []], [26, []], [28, []], [6, []], [29, []], [30, [30, 27, 20]], [27, []], [24, [24, 22]], [22, []], [20, []]]], [[[5, [5, 4]]], [[2, [2]]], [[11, [11, 19]]], [[7, [7, 3]]], [[18, [18, 26]]], [[17, [17, 6, 29]]], [[25, [25, 28, 23]]], [[12, [15, 13, 16]]], [[12, [12, 14, 10]]], [[9, [9, 8, 21]]], [[30, [30, 27, 20]]], [[24, [24, 22]]]]]",399.84851236230736,"[[[[0, [1]], [2, [2]], [1, []], [7, [7, 28, 23]], [3, [3, 4, 26]], [4, []], [23, []], [26, []], [28, []], [30, [30, 27, 8]], [27, []], [24, [24, 21, 22]], [22, []], [21, []], [8, []]], [[0, []], [5, [5, 16, 29]], [11, [11]], [10, [10, 18]], [12, [12, 14, 15, 20]], [14, []], [16, []], [15, []], [19, [19, 6, 13, 9, 25, 17]], [17, []], [18, []], [13, []], [9, []], [25, []], [29, []], [6, []], [20, []]]], [[[2, [2]], [5, [29]]], [[5, [5, 16]]], [[11, [11]]], [[10, [10, 18]]], [[7, [7, 28, 23]]], [[3, [3, 4, 26]]], [[12, [12, 14, 15, 20]]], [[19, [19, 13]]], [[19, [6, 9, 25, 17]]], [[30, [30, 27, 8]]], [[24, [24, 22]]], [[24, [21]]]]]",446.44,OK
test_data\data_demand_random\30\C201_0.5.dat,8,1,4,369.0,"[[[[0, []], [5, [5, 23]], [10, [10, 11]], [11, []], [21, [21, 22]], [22, []], [30, [30, 27, 24]], [25, [25, 20, 6, 29]], [23, [26, 28]], [26, []], [28, []], [6, []], [29, []], [27, []], [24, []], [20, []]], [[0, [1]], [2, [2, 16]], [3, [3, 4, 19]], [4, []], [7, [7, 14]], [1, []], [12, [12, 18, 15]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 13, 9, 8]], [13, []], [9, []], [8, []]]], [[[2, [2, 16]]], [[5, [5, 23]]], [[10, [10, 11]]], [[3, [3, 4, 19]]], [[21, [21, 22]]], [[7, [7, 14]]], [[30, [30, 27, 24]]], [[25, [25, 20, 6, 29]]], [[23, [26, 28]]], [[12, [12, 18, 15]]], [[17, [17, 13]]], [[17, [9, 8]]]]]",,None,413.04,OK
test_data\data_demand_random\30\C201_0.5.dat,8,1,5,384.43002431638314,"[[[[0, []], [5, [5, 11, 23]], [11, []], [10, [10, 29]], [8, [8, 17, 6, 20]], [30, [30, 27, 26, 25, 18, 28, 24]], [25, []], [17, []], [18, []], [23, []], [26, []], [28, []], [6, []], [29, []], [27, []], [24, []], [20, []]], [[0, [1]], [2, [2, 4]], [7, [7, 3, 16]], [4, []], [3, []], [1, []], [12, [12, 14, 21, 15]], [14, [19, 13]], [16, []], [19, []], [15, []], [13, []], [9, [9, 22]], [21, []], [22, []]]], [[[5, [11, 23]]], [[2, [2, 4]]], [[5, [5]]], [[7, [7, 3, 16]]], [[10, [10, 29]]], [[8, [8, 17, 6, 20]]], [[30, [26, 18]]], [[30, [28, 24]]], [[30, [30, 27, 25]]], [[12, [12, 14, 21, 15]]], [[14, [19, 13]]], [[9, [9, 22]]]]]",,None,316.305,OK
test_data\data_demand_random\30\C201_0.5.dat,8,2,1,373.0,"[[[[0, [1]], [2, [2, 26, 23]], [1, []], [7, [7, 3, 4]], [3, []], [4, []], [25, [25, 28, 21]], [23, []], [26, []], [28, []], [30, [30, 27]], [27, []], [22, [22]], [21, []]], [[0, [13]], [5, [5, 16, 29, 11]], [11, []], [8, [8, 10, 19]], [10, []], [9, [9, 15, 12, 14, 6, 20, 24]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, [18]], [17, [17]], [6, []], [29, []], [24, []], [20, []]]], [[[2, [2, 26, 23]]], [[5, [29, 11]]], [[5, [5, 16]]], [[8, [8, 10, 19]]], [[7, [7, 3, 4]]], [[9, [15, 14, 24]]], [[9, [9, 12, 6, 20]]], [[18, [18]]], [[17, [17]]], [[25, [25, 28, 21]]], [[30, [30, 27]]], [[22, [22]]]]]",436.9123746052316,"[[[[0, [26]], [29, [29, 16, 23]], [21, [21, 8]], [8, [12, 15, 25, 13, 9, 24]], [9, []], [25, []], [13, []], [17, [17, 14]], [16, []], [12, []], [14, []], [15, []], [19, [19, 18]], [18, []], [23, []], [26, []], [28, [28, 20]], [30, [30, 27]], [27, []], [24, []], [20, []]], [[0, [1]], [5, [5]], [10, [10, 2, 4]], [11, [11, 3]], [22, [22]], [6, [6, 7]], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[29, [29, 16, 23]]], [[5, [5]]], [[10, [10, 2, 4]]], [[11, [11, 3]]], [[21, [21, 8]], [22, [22]]], [[8, [9, 24]]], [[8, [12, 15, 25, 13]]], [[6, [6, 7]]], [[17, [17, 14]]], [[19, [19, 18]]], [[28, [28, 20]]], [[30, [30, 27]]]]]",953.892,OK
test_data\data_demand_random\30\C201_0.5.dat,8,2,2,375.40699673696577,"[[[[0, [26, 16, 13]], [5, [5, 19]], [8, [8, 23, 15, 14, 17]], [25, [25, 12, 24, 18, 28]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [24, []]], [[0, [1]], [2, [2, 3, 4, 11]], [1, []], [7, [7, 10, 29]], [3, []], [4, []], [10, []], [11, []], [9, [9, 21, 6, 27, 20]], [21, []], [30, [30]], [6, []], [29, []], [27, []], [22, [22]], [20, []]]], [[[5, [5, 19]]], [[2, [2, 11]]], [[2, [3, 4]]], [[7, [7, 10, 29]]], [[8, [23, 17]]], [[8, [8, 15, 14]]], [[25, [12, 24, 18]]], [[25, [25, 28]]], [[9, [9, 21, 6, 27, 20]]], [[30, [30]]], [[22, [22]]]]]",425.309803923721,"[[[[0, [26, 23]], [5, [5, 16]], [2, [2, 11]], [11, [18, 20]], [9, [9, 19]], [12, [12, 14]], [16, []], [14, []], [15, [15, 28, 6]], [19, []], [17, [17, 29]], [18, []], [23, []], [26, []], [28, []], [6, []], [29, []], [27, [27, 22]], [22, []], [20, []]], [[0, [1, 13]], [3, [3, 4]], [4, []], [7, [7]], [1, []], [13, []], [25, [25, 8, 30]], [21, [21, 10, 24]], [10, []], [8, []], [24, []], [30, []]]], [[[5, [5, 16]]], [[3, [3, 4]]], [[2, [2, 11]]], [[11, [18, 20]], [7, [7]]], [[9, [9, 19]]], [[12, [12, 14]]], [[15, [15, 28, 6]]], [[17, [17, 29]]], [[25, [25, 8, 30]]], [[21, [21, 10, 24]]], [[27, [27, 22]]]]]",703.432,OK
test_data\data_demand_random\30\C201_0.5.dat,8,2,3,387.13274595042157,"[[[[0, []], [5, [5, 16]], [2, [2, 1, 4, 13]], [3, [3, 19]], [4, []], [7, [7, 14, 15]], [1, []], [12, [12, 18, 10]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 9, 8]], [13, []], [9, []], [11, [11]], [10, []], [8, []]], [[0, [23, 26]], [23, []], [26, []], [28, [28, 6, 24]], [6, [30, 27, 21, 20]], [29, [29]], [30, []], [25, [25, 22]], [27, []], [24, []], [22, []], [21, []], [20, []]]], [[[5, [5, 16]]], [[2, [4, 13]]], [[2, [2, 1]]], [[3, [3, 19]]], [[7, [7, 14, 15]]], [[28, [28, 6, 24]]], [[12, [12, 18, 10]]], [[6, [30, 27, 21, 20]]], [[29, [29]]], [[25, [25, 22]]], [[17, [17, 9, 8]]], [[11, [11]]]]]",,None,898.195,OK
test_data\data_demand_random\30\C201_0.5.dat,8,2,4,377.13274595042157,"[[[[0, []], [11, [11, 2]], [2, []], [10, [10, 23, 26]], [25, [25, 30, 20]], [23, []], [26, [6, 8, 21, 29, 28, 24]], [28, []], [30, []], [29, []], [6, []], [24, []], [20, []], [21, []], [8, []]], [[0, [1]], [5, [5, 16, 19, 4, 3]], [4, []], [3, []], [7, [7, 15, 18]], [1, []], [12, [12, 14]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 9, 27, 13]], [13, []], [9, []], [27, []], [22, [22]]]], [[[11, [11, 2]]], [[5, [19, 4, 3]]], [[5, [5, 16]]], [[10, [10, 23, 26]]], [[7, [7, 15, 18]]], [[25, [25, 30, 20]]], [[26, [28, 24]]], [[26, [6, 8, 21, 29]]], [[12, [12, 14]]], [[17, [13]]], [[17, [17, 9, 27]]], [[22, [22]]]]]",,None,1344.004,OK
