instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_sol_drone_trip_distances,best_sol_avg_distance_per_drone_trip,best_sol_truck_wait_by_point,best_sol_drone_wait_by_point,best_sol_avg_truck_wait_by_point,best_sol_avg_drone_wait_by_point,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,best_multi_visit_sol_drone_trip_distances,best_multi_visit_sol_avg_distance_per_drone_trip,best_multi_visit_sol_truck_wait_by_point,best_multi_visit_sol_drone_wait_by_point,best_multi_visit_sol_avg_truck_wait_by_point,best_multi_visit_sol_avg_drone_wait_by_point,runtime_sec,status
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,1,5,218.0,"[[[[0, [2, 7, 5, 1, 3]], [2, []], [1, []], [7, []], [3, []], [4, [4]], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[4, [4]]], [[6, [6]]]]]",,None,1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 5.701779}",0.0,45.544641,,,[],,{},{},,,4.51,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,2,1,218.0,"[[[[0, [2, 3, 1, 5]], [5, []], [2, []], [1, []], [7, [7, 4]], [3, []], [4, []]], [[0, [9, 8, 10]], [8, []], [10, []], [9, []], [6, [6]]]], [[[7, [7, 4]]], [[6, [6]]]]]",,None,1.5,2.5,"[53.814496, 50.596443]",52.205469,"{7: 0.0, 6: 0.0}","{7: 64.092752, 6: 89.701779}",0.0,76.897265,,,[],,{},{},,,9.288,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,2,2,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [3, 2, 5, 1]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]]], [[[6, [6]], [4, [4, 7]]]]]",218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [3, 2, 5, 1]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]]], [[[6, [6]], [4, [4, 7]]]]]",3.0,5.0,[101.030575],101.030575,"{6: 0.0, 4: 0.612497}","{6: 5.701779, 4: 0.0}",0.306248,2.850889,3.0,5.0,[101.030575],101.030575,"{6: 0.0, 4: 0.612497}","{6: 5.701779, 4: 0.0}",0.306248,2.850889,11.25,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,2,3,218.0,"[[[[0, [5, 2, 1, 3]], [5, []], [2, []], [1, []], [7, [7, 4]], [3, []], [4, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[7, [7, 4]]], [[6, [6]]]]]",,None,1.5,2.5,"[53.814496, 50.596443]",52.205469,"{7: 0.0, 6: 0.0}","{7: 64.092752, 6: 5.701779}",0.0,34.897265,,,[],,{},{},,,9.033,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,2,4,218.0,"[[[[0, [2, 5, 1, 3]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[4, [4, 7]]], [[6, [6]]]]]",218.0,"[[[[0, [3, 1, 7, 2, 5]], [4, [4]], [3, []], [7, []], [1, []], [2, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[4, [4]], [6, [6]]]]]",1.5,2.5,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 41.387503, 6: 5.701779}",0.0,23.544641,2.0,2.0,[101.030575],101.030575,"{6: 0.0, 4: 0.612497}","{6: 5.701779, 4: 0.0}",0.306248,2.850889,9.9,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,2,5,218.0,"[[[[0, [1, 5, 3]], [2, [2, 4, 7]], [1, []], [7, []], [3, []], [4, []], [5, []]], [[0, [8, 10, 9]], [8, []], [10, []], [9, []], [6, [6]]]], [[[2, [2]]], [[2, [4, 7]]], [[6, [6]]]]]",261.0,"[[[[0, [8, 9]], [8, []], [6, [6]], [9, []], [10, [10]]], [[0, [3, 1, 7]], [4, [4, 5]], [3, []], [7, []], [1, []], [2, [2]], [5, []]]], [[[4, [5]]], [[6, [6]], [4, [4]]], [[10, [10]]], [[2, [2]]]]]",1.333333,3.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 63.768944, 6: 25.086251}",0.0,44.427597,1.25,3.0,"[51.224994, 101.030575, 33.526109, 41.231056]",56.753183,"{4: 40.0, 6: 0.0, 10: 0.0, 2: 0.0}","{4: 62.387503, 6: 45.701779, 10: 69.624448, 2: 19.771975}",10.0,49.371426,8.739,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,3,1,218.0,"[[[[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]], [[0, [3, 1, 2, 5]], [4, [4, 7]], [3, []], [7, []], [1, []], [2, []], [5, []]]], [[[6, [6]]], [[4, [4, 7]]]]]",255.0,"[[[[0, [3, 7, 1, 2]], [4, [4]], [3, []], [7, []], [2, []], [1, []]], [[0, [10, 8]], [6, [6, 9]], [9, []], [5, [5]], [10, []], [8, []]]], [[[6, [9]]], [[6, [6]], [4, [4]]], [[5, [5]]]]]",1.5,2.5,"[50.596443, 51.224994]",50.910718,"{6: 0.0, 4: 0.0}","{6: 5.701779, 4: 41.387503}",0.0,23.544641,1.333333,3.333333,"[50.596443, 101.030575, 30.265492]",60.630836,"{6: 0.0, 4: 0.0, 5: 0.0}","{6: 45.403557, 4: 6.972244, 5: 77.569033}",0.0,43.314945,13.416,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,3,2,218.0,"[[[[0, [2, 1, 3, 5]], [2, []], [1, []], [7, [7, 4]], [3, []], [4, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[7, [7, 4]]], [[6, [6]]]]]",,None,1.5,2.5,"[53.814496, 50.596443]",52.205469,"{7: 0.0, 6: 0.0}","{7: 64.092752, 6: 5.701779}",0.0,34.897265,,,[],,{},{},,,14.59,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,3,3,218.0,"[[[[0, [5, 2, 7, 1, 3]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, [4]]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[4, [4]]], [[6, [6]]]]]",238.0,"[[[[0, [2, 1, 3, 7, 5]], [2, []], [3, []], [4, [4]], [7, []], [1, []], [5, []]], [[0, [8, 10]], [6, [6, 9]], [8, []], [9, []], [10, []]]], [[[6, [9]]], [[6, [6]], [4, [4]]]]]",1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 5.701779}",0.0,45.544641,1.5,3.0,"[50.596443, 101.030575]",75.813509,"{6: 0.0, 4: 0.0}","{6: 45.403557, 4: 23.387503}",0.0,34.39553,13.751,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,3,4,218.0,"[[[[0, [2, 1, 7, 3, 4, 5]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[6, [6]]]]]",221.6124969497314,"[[[[0, [3, 5, 1, 7]], [5, []], [4, [4]], [3, []], [7, []], [1, []], [2, [2]]], [[0, [10, 8]], [6, [6, 9]], [9, []], [10, []], [8, []]]], [[[6, [9]]], [[6, [6]], [4, [4]]], [[2, [2]]]]]",1.0,1.0,[50.596443],50.596443,{6: 0.0},{6: 5.701779},0.0,5.701779,1.333333,3.333333,"[50.596443, 101.030575, 41.231056]",64.286024,"{6: 0.0, 4: 0.612497, 2: 0.0}","{6: 45.403557, 4: 0.0, 2: 50.698748}",0.204166,32.034102,13.373,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,4,120,3,5,218.0,"[[[[0, [4, 3, 7, 1, 2, 5]], [4, []], [3, []], [7, []], [1, []], [2, []], [5, []]], [[0, [9, 10, 8]], [6, [6]], [9, []], [10, []], [8, []]]], [[[6, [6]]]]]",,None,1.0,1.0,[50.596443],50.596443,{6: 0.0},{6: 5.701779},0.0,5.701779,,,[],,{},{},,,12.699,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,1,1,218.0,"[[[[0, [3, 1, 7, 2, 5]], [2, []], [1, []], [7, []], [3, []], [4, [4]], [5, []]], [[0, [9, 10, 8]], [8, []], [10, []], [9, []], [6, [6]]]], [[[4, [4]]], [[6, [6]]]]]",,None,1.0,1.0,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 89.701779}",0.0,87.544641,,,[],,{},{},,,6.709,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,1,2,218.0,"[[[[0, [9, 8]], [6, [6, 10]], [9, []], [10, []], [8, []]], [[0, [5, 2, 1, 7]], [5, [4, 3]], [2, []], [1, []], [7, []], [3, []], [4, []]]], [[[6, [6, 10]]], [[5, [4, 3]]]]]",,None,2.0,4.5,"[50.596443, 30.265492]",40.430967,"{6: 0.0, 5: 0.0}","{6: 5.701779, 5: 13.867254}",0.0,9.784516,,,[],,{},{},,,5.951,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,1,3,218.0,"[[[[0, []], [5, [5, 2]], [4, [4, 3, 1, 7]], [7, []], [3, []], [1, []], [2, []]], [[0, [8, 9, 10]], [8, []], [10, []], [9, []], [6, [6]]]], [[[5, [5, 2]]], [[4, [1, 7]]], [[4, [4, 3]]], [[6, [6]]]]]",,None,1.75,5.75,"[30.265492, 51.224994, 51.224994, 50.596443]",45.827981,"{5: 0.0, 4: 2.745243, 6: 0.0}","{5: 5.867254, 4: 28.387503, 6: 16.089282}",0.915081,16.781346,,,[],,{},{},,,7.425,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,1,4,218.0,"[[[[0, [9, 8, 10]], [8, []], [10, []], [9, []], [6, [6]]], [[0, []], [2, [2, 1, 7, 5]], [1, []], [7, []], [4, [4, 3]], [3, []], [5, []]]], [[[2, [2, 5]]], [[2, [1, 7]]], [[4, [4, 3]]], [[6, [6]]]]]",,None,1.75,5.75,"[41.231056, 41.231056, 51.224994, 50.596443]",46.070887,"{2: 0.0, 4: 0.0, 6: 0.0}","{2: 22.768944, 4: 11.771975, 6: 48.086251}",0.0,27.54239,,,[],,{},{},,,6.75,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,1,5,218.0,"[[[[0, [9, 8, 10]], [8, []], [10, []], [9, []], [6, [6]]], [[0, [2, 5]], [2, [3, 7, 1, 4]], [1, []], [3, []], [7, []], [4, []], [5, []]]], [[[2, [3, 7]]], [[2, [1, 4]]], [[6, [6]]]]]",,None,1.666667,5.0,"[41.231056, 41.231056, 50.596443]",44.352852,"{2: 0.0, 6: 0.0}","{2: 34.768944, 6: 35.086251}",0.0,34.927597,,,[],,{},{},,,8.633,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,2,1,218.0,"[[[[0, []], [2, [2, 1, 7, 4]], [1, []], [7, [3]], [3, []], [4, []], [5, [5]]], [[0, [9, 10, 8]], [8, []], [10, []], [9, []], [6, [6]]]], [[[2, [2, 4]]], [[2, [1, 7]]], [[7, [3]]], [[6, [6]]], [[5, [5]]]]]",261.13274595042157,"[[[[0, [9]], [5, [5, 3, 7]], [3, []], [4, [4, 1]], [7, []], [1, []], [9, []]], [[0, [8, 10]], [2, [2]], [10, []], [8, []], [6, [6]]]], [[[5, [5]], [2, [2]]], [[5, [3, 7]]], [[4, [4, 1]]], [[6, [6]]]]]",1.4,4.6,"[41.231056, 41.231056, 53.814496, 50.596443, 30.265492]",43.427709,"{2: 0.0, 7: 1.522776, 6: 0.0, 5: 0.0}","{2: 7.768944, 7: 0.0, 6: 48.086251, 5: 15.960006}",0.380694,17.9538,1.75,5.75,"[41.579226, 30.265492, 51.224994, 50.596443]",43.416539,"{5: 3.132746, 2: 0.0, 4: 0.0, 6: 0.0}","{5: 5.867254, 2: 6.169048, 4: 17.254757, 6: 68.086251}",0.783186,24.344327,13.736,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,2,2,218.0,"[[[[0, []], [5, [5, 2]], [4, [4, 3]], [3, []], [7, [7, 1]], [1, []], [2, []]], [[0, [9, 10, 8]], [8, []], [10, []], [9, []], [6, [6]]]], [[[5, [5, 2]]], [[4, [4, 3]]], [[7, [7, 1]]], [[6, [6]]]]]",238.0,"[[[[0, [9]], [2, [2]], [9, []], [6, [6]]], [[0, [8]], [5, [5, 3, 10]], [4, [4]], [3, []], [7, [7, 1]], [1, []], [10, []], [8, []]]], [[[5, [5]], [2, [2]]], [[5, [3, 10]]], [[4, [4]]], [[7, [7, 1]]], [[6, [6]]]]]",1.75,5.75,"[30.265492, 51.224994, 53.814496, 50.596443]",46.475356,"{5: 0.0, 4: 0.0, 7: 0.0, 6: 0.0}","{5: 5.867254, 4: 23.387503, 7: 20.960006, 6: 16.089282}",0.0,16.576011,1.6,5.0,"[41.579226, 30.265492, 51.224994, 53.814496, 50.596443]",45.49613,"{5: 2.132746, 2: 0.0, 4: 2.745243, 7: 0.0, 6: 0.0}","{5: 6.867254, 2: 4.169048, 4: 0.0, 7: 5.355213, 6: 30.211293}",0.975598,9.320562,14.308,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,2,3,217.0,"[[[[0, [2, 1, 7, 3]], [2, [4, 5]], [1, []], [7, []], [3, []], [4, []], [5, []]], [[0, [9]], [6, [6, 8, 10]], [9, []], [10, []], [8, []]]], [[[6, [6, 8, 10]]], [[2, [4, 5]]]]]",235.0,"[[[[0, [8]], [8, []], [2, [2, 1, 7]], [1, []], [7, []], [4, [4, 3]], [3, []]], [[0, [9, 10]], [5, [5]], [10, []], [9, []], [6, [6]]]], [[[2, [2]], [5, [5]]], [[2, [1, 7]]], [[4, [4, 3]]], [[6, [6]]]]]",2.5,6.5,"[50.596443, 41.231056]",45.913749,"{6: 0.0, 2: 0.0}","{6: 4.701779, 2: 24.384472}",0.0,14.543125,1.75,5.75,"[41.579226, 41.231056, 51.224994, 50.596443]",46.15793,"{5: 0.0, 2: 5.311289, 4: 0.0, 6: 0.0}","{5: 6.867254, 2: 31.384472, 4: 11.771975, 6: 26.774962}",1.327822,19.199666,12.618,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,2,4,217.0,"[[[[0, [2, 1, 7, 3, 4, 5]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, []]], [[0, [9]], [6, [6, 10, 8]], [9, []], [10, []], [8, []]]], [[[6, [6, 10, 8]]]]]",,None,3.0,8.0,[50.596443],50.596443,{6: 0.0},{6: 4.701779},0.0,4.701779,,,[],,{},{},,,12.373,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,2,5,217.0,"[[[[0, [5, 2, 1, 7, 3]], [5, []], [2, []], [1, []], [7, []], [3, []], [4, [4]]], [[0, [9]], [6, [6, 10, 8]], [9, []], [10, []], [8, []]]], [[[4, [4]]], [[6, [6, 10, 8]]]]]",283.0,"[[[[0, [8]], [5, [5]], [8, []], [6, [6]]], [[0, [10, 9]], [10, []], [2, [2, 1, 4]], [1, []], [4, [3, 7]], [3, []], [7, []], [9, []]]], [[[2, [2]], [5, [5]]], [[2, [1, 4]]], [[4, [3, 7]]], [[6, [6]]]]]",2.0,4.5,"[51.224994, 50.596443]",50.910718,"{4: 0.0, 6: 0.0}","{4: 85.387503, 6: 4.701779}",0.0,45.044641,1.75,5.75,"[41.579226, 41.231056, 51.224994, 50.596443]",46.15793,"{5: 0.0, 2: 9.311289, 4: 0.0, 6: 0.0}","{5: 6.867254, 2: 22.384472, 4: 11.771975, 6: 6.774962}",2.327822,11.949666,13.429,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,3,1,218.0,"[[[[0, []], [2, [2, 1, 5, 4]], [1, []], [7, [7, 3]], [4, []], [3, []], [5, []]], [[0, [9, 10, 8]], [8, []], [10, []], [9, []], [6, [6]]]], [[[2, [2, 5]]], [[2, [1, 4]]], [[7, [7, 3]]], [[6, [6]]]]]",,None,1.75,5.75,"[41.231056, 41.231056, 53.814496, 50.596443]",46.718263,"{2: 0.0, 7: 1.522776, 6: 0.0}","{2: 17.768944, 7: 0.0, 6: 48.086251}",0.507592,21.951731,,,[],,{},{},,,19.22,OK
test_data\data_demand_random_patch\10\C201_0.5.dat,8,60,3,2,218.0,"[[[[0, [8, 9, 10]], [8, []], [10, []], [9, []], [6, [6]]], [[0, []], [2, [2, 1, 7, 5]], [1, []], [7, [3, 4]], [3, []], [4, []], [5, []]]], [[[2, [2, 5]]], [[2, [1, 7]]], [[7, [3, 4]]], [[6, [6]]]]]",,None,1.75,5.75,"[41.231056, 41.231056, 53.814496, 50.596443]",46.718263,"{2: 0.0, 7: 1.522776, 6: 0.0}","{2: 22.768944, 7: 0.0, 6: 48.086251}",0.507592,23.618398,,,[],,{},{},,,18.946,OK
