instance,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,3,1,410.6155281280883,"[[[[0, [26, 28, 16, 14, 19, 18, 17, 23, 30, 22, 27, 21, 20]], [8, [8, 12, 15]], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []], [21, []], [20, []]], [[0, [5, 13]], [5, []], [2, [2, 1, 7, 24]], [1, []], [7, []], [3, [3, 4, 10]], [4, []], [10, []], [11, [11]], [9, [9, 25]], [13, []], [25, []], [29, [29]], [6, [6]], [24, []]]], [[[2, [1]]], [[2, [2]]], [[2, [7, 24]]], [[3, [4, 10]]], [[8, [8, 12, 15]]], [[3, [3]]], [[11, [11]]], [[9, [9, 25]]], [[29, [29]]], [[6, [6]]]]]",462.0,"[[[[0, [13, 22, 5]], [11, [11]], [10, [10, 4]], [5, []], [4, []], [3, [3, 1]], [7, [7]], [1, []], [2, [2]], [9, [9]], [13, []], [17, [17]], [25, [25, 20, 27]], [27, []], [22, []], [20, []]], [[0, [28, 26, 23, 6, 24, 19, 18, 30, 16, 14]], [24, []], [29, [29]], [6, []], [28, []], [26, []], [23, []], [18, []], [19, []], [14, []], [12, [12]], [16, []], [15, [15, 21, 8]], [30, []], [21, []], [8, []]]], [[[29, [29]]], [[11, [11]]], [[10, [10, 4]]], [[3, [1]]], [[3, [3]]], [[7, [7]]], [[2, [2]]], [[9, [9]], [12, [12]]], [[17, [17]]], [[15, [15, 21, 8]]], [[25, [25, 20, 27]]]]]",982.263,OK
test_data\data_demand_random\30\C201_0.5.dat,3,2,417.0,"[[[[0, [4, 3, 7, 1, 2, 11, 10, 9, 5, 22, 30]], [5, []], [4, []], [3, []], [7, []], [1, []], [2, []], [11, []], [10, []], [9, []], [25, [25, 21, 27]], [30, []], [29, [29]], [27, []], [21, []], [22, []]], [[0, [26, 28, 18, 13, 16, 14]], [8, [8, 20, 23, 6, 24, 15]], [13, []], [17, [17, 19, 12]], [16, []], [14, []], [12, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [6, []], [24, []], [20, []]]], [[[8, [20, 23]]], [[8, [8, 15]]], [[8, [6, 24]]], [[17, [17, 12]]], [[17, [19]]], [[25, [25, 21, 27]]], [[29, [29]]]]]",438.0,"[[[[0, [22, 26, 23, 28, 30, 18, 14, 13, 19, 5, 17]], [20, [20]], [22, []], [30, []], [28, []], [26, []], [23, []], [25, [25, 9, 12, 15, 16]], [17, []], [18, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [9, []], [11, [11]], [5, []]], [[0, [2, 1]], [29, [29]], [6, [6, 4, 10]], [27, [27, 24, 21, 8]], [24, []], [21, []], [8, []], [10, []], [2, []], [4, []], [7, [7]], [3, [3]], [1, []]]], [[[29, [29]]], [[6, [6, 4, 10]]], [[27, [27, 24]], [20, [20]]], [[27, [21, 8]]], [[7, [7]]], [[25, [12, 15, 16]]], [[25, [25, 9]]], [[3, [3]]], [[11, [11]]]]]",654.298,OK
test_data\data_demand_random\30\C201_0.5.dat,3,3,410.0,"[[[[0, [1, 5, 13]], [5, []], [2, [2, 7, 4]], [1, []], [7, []], [3, [3]], [4, []], [10, [10, 24]], [11, [11]], [9, [9, 6]], [13, []], [25, [25, 20]], [29, [29]], [6, []], [24, []], [20, []]], [[0, [19, 14, 16, 15, 28, 30, 12, 26, 22, 18, 8, 27, 23]], [21, [21, 17]], [8, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]]], [[[2, [7, 4]]], [[21, [21, 17]]], [[2, [2]]], [[3, [3]]], [[10, [10, 24]]], [[11, [11]]], [[9, [9, 6]]], [[25, [25, 20]]], [[29, [29]]]]]",466.0,"[[[[0, [5, 1, 30, 4]], [2, [2]], [1, []], [7, [7]], [3, [3]], [4, []], [5, []], [11, [11]], [10, [10, 24]], [30, []], [6, [6, 27]], [29, [29]], [27, []], [24, []]], [[0, [26, 28, 18, 19, 14, 16, 22, 23, 13]], [8, [8, 15, 12, 21, 17]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [25, [25]], [13, []], [9, [9, 20]], [21, []], [22, []], [20, []]]], [[[8, [12, 17]]], [[2, [2]]], [[8, [8, 15, 21]]], [[7, [7]]], [[3, [3]]], [[11, [11]]], [[10, [10, 24]]], [[6, [6, 27]], [25, [25]]], [[29, [29]]], [[9, [9, 20]]]]]",865.601,OK
test_data\data_demand_random\30\C201_0.5.dat,3,4,413.0,"[[[[0, [11, 14, 16, 18, 23, 26, 28, 30, 19]], [8, [8, 10]], [10, []], [11, []], [9, [9, 12]], [12, []], [14, []], [16, []], [15, [15, 17]], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [29, [29, 24, 20]], [24, []], [20, []]], [[0, [3, 4, 1, 13, 22, 5]], [5, []], [2, [2]], [7, [7]], [3, []], [4, []], [1, []], [13, []], [25, [25, 6, 21, 27]], [6, []], [27, []], [22, []], [21, []]]], [[[8, [8, 10]]], [[2, [2]]], [[7, [7]]], [[9, [9, 12]]], [[15, [15, 17]]], [[25, [25, 6, 21, 27]]], [[29, [29]]], [[29, [24, 20]]]]]",449.0,"[[[[0, [1, 2, 5, 22, 30, 4]], [20, [20]], [5, [10, 25]], [4, []], [3, [3]], [7, [7]], [1, []], [2, []], [11, [11]], [10, []], [9, [9, 27]], [25, []], [30, []], [27, []], [22, []]], [[0, [13, 18, 19, 14, 16, 23, 26, 28]], [21, [21, 17]], [8, [8, 12, 15, 6, 24]], [13, []], [17, []], [18, []], [19, []], [12, []], [14, []], [16, []], [15, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [24, []]]], [[[21, [21, 17]]], [[8, [8, 6]], [20, [20]]], [[8, [12, 15, 24]]], [[29, [29]]], [[5, [10, 25]]], [[3, [3]]], [[7, [7]]], [[11, [11]]], [[9, [9, 27]]]]]",808.816,OK
test_data\data_demand_random\30\C201_0.5.dat,3,5,421.0,"[[[[0, [30, 22, 10, 11, 1, 5]], [21, [21, 7, 4]], [22, []], [27, [27, 9]], [30, []], [9, []], [10, []], [11, []], [2, [2]], [1, []], [7, []], [3, [3]], [4, []], [5, []]], [[0, [14, 16, 19, 18, 13, 23, 26, 28]], [8, [8, 15, 6, 17, 20]], [12, [12, 25, 24]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [24, []], [20, []]]], [[[21, [21, 7, 4]]], [[8, [8, 15, 6]]], [[8, [17, 20]]], [[12, [12, 25, 24]]], [[27, [27, 9]]], [[2, [2]]], [[3, [3]]], [[29, [29]]]]]",,None,890.541,OK
test_data\data_demand_random\30\C201_3.dat,1,1,802.0,"[[[[0, [3, 5, 4, 1, 23, 19]], [5, []], [2, [2]], [4, []], [3, []], [1, []], [13, [13]], [23, []], [26, [26]], [28, [28, 18]], [6, [6]], [18, []], [19, []], [14, [14, 16]], [12, [12, 15, 17]], [16, []], [15, []], [17, []], [25, [25, 30]], [30, []], [29, [29]], [24, [24]], [20, [20]]], [[0, [27, 11, 21, 7]], [7, []], [9, [9, 22]], [11, []], [10, [10]], [8, [8]], [21, []], [22, []], [27, []]]], [[[2, [2]]], [[13, [13]]], [[26, [26]]], [[28, [28, 18]]], [[6, [6]]], [[14, [14, 16]]], [[9, [9, 22]]], [[12, [12, 15, 17]]], [[25, [25, 30]]], [[10, [10]]], [[8, [8]]], [[29, [29]]], [[24, [24]]], [[20, [20]]]]]",,None,256.152,OK
test_data\data_demand_random\30\C201_3.dat,1,2,797.0,"[[[[0, [19, 18, 7, 1, 2, 11, 3]], [5, [5, 13]], [1, []], [7, []], [4, [4, 14, 16, 15]], [3, []], [2, []], [10, [10]], [11, []], [9, [9, 12, 21]], [12, []], [14, []], [16, []], [15, []], [19, [17, 25]], [18, []], [17, []], [13, []], [25, []], [8, [8]], [21, []], [20, [20]]], [[0, [29, 26, 6, 23, 27, 24]], [29, []], [6, []], [28, [28, 30]], [26, []], [23, []], [30, []], [27, []], [24, []], [22, [22]]]], [[[5, [5, 13]]], [[4, [4, 15]]], [[4, [14, 16]]], [[10, [10]]], [[28, [28, 30]]], [[9, [9, 12, 21]]], [[22, [22]]], [[19, [17, 25]]], [[8, [8]]], [[20, [20]]]]]",956.2982212813471,"[[[[0, [27, 22, 16]], [24, [24]], [6, [6, 14]], [27, []], [22, []], [20, [20, 11]], [8, [8, 10]], [10, []], [11, []], [12, [12, 15, 17]], [14, []], [16, []], [15, []], [17, []], [25, [25, 21]], [30, [30, 29]], [29, []], [21, []]], [[0, [23, 13, 1, 19, 3, 7]], [5, [5]], [4, [4]], [3, []], [1, []], [13, []], [19, []], [18, [18, 2]], [23, []], [26, [26]], [28, [28]], [9, [9]], [2, []], [7, []]]], [[[5, [5]]], [[4, [4]]], [[24, [24]]], [[18, [18, 2]]], [[26, [26]]], [[6, [6, 14]]], [[28, [28]]], [[9, [9]], [20, [11]]], [[20, [20]]], [[8, [10]]], [[8, [8]]], [[12, [12, 15, 17]]], [[25, [25, 21]]], [[30, [30, 29]]]]]",188.608,OK
test_data\data_demand_random\30\C201_3.dat,1,3,797.0,"[[[[0, [5, 1, 23, 19]], [5, []], [1, []], [10, [10]], [11, [11, 13]], [13, []], [24, [24, 14]], [22, [22]], [20, [20]], [29, [29]], [6, [6]], [28, [28, 18, 17, 16]], [26, [26]], [23, []], [17, []], [18, []], [19, []], [15, [15, 12, 21]], [16, []], [14, []], [12, []], [8, [8]], [21, []]], [[0, [4, 3, 7, 2, 27]], [4, []], [3, []], [7, []], [2, []], [9, [9, 25]], [25, []], [30, [30]], [27, []]]], [[[10, [10]]], [[11, [11, 13]]], [[24, [24, 14]]], [[22, [22]]], [[20, [20]]], [[29, [29]]], [[6, [6]]], [[28, [28, 18]]], [[28, [17, 16]]], [[26, [26]]], [[15, [15, 12, 21]]], [[9, [9, 25]]], [[30, [30]]], [[8, [8]]]]]",874.0,"[[[[0, [7, 18, 27]], [4, [4]], [7, []], [9, [9]], [17, [17, 6]], [18, []], [6, []], [27, []]], [[0, [2, 3, 1, 23, 19, 16]], [2, []], [3, []], [1, []], [5, [5, 13]], [11, [11]], [13, []], [10, [10]], [8, [8]], [20, [20]], [29, [29]], [22, [22, 14]], [21, [21, 30, 28]], [30, []], [28, []], [26, [26]], [23, []], [19, []], [15, [15, 12]], [16, []], [14, []], [12, []], [25, [25]], [24, [24]]]], [[[4, [4]]], [[5, [5, 13]]], [[11, [11]]], [[10, [10]]], [[8, [8]]], [[20, [20]]], [[29, [29]]], [[22, [22, 14]]], [[21, [21, 30, 28]]], [[26, [26]]], [[15, [15, 12]], [9, [9]]], [[17, [17, 6]]], [[25, [25]]], [[24, [24]]]]]",266.373,OK
test_data\data_demand_random\30\C201_3.dat,1,4,792.298221281347,"[[[[0, [27, 7, 2]], [7, []], [2, []], [9, [9, 30, 21]], [30, []], [27, []], [21, []]], [[0, [3, 11, 26, 23, 19, 13, 16]], [5, [5, 1]], [1, []], [3, []], [4, [4]], [10, [10]], [11, []], [22, [22, 14]], [20, [20]], [24, [24]], [29, [29]], [6, [6]], [28, [28, 18, 17]], [26, []], [23, []], [18, []], [17, []], [19, []], [15, [15, 12]], [16, []], [14, []], [12, []], [13, []], [25, [25]], [8, [8]]]], [[[5, [1]]], [[5, [5]]], [[4, [4]]], [[10, [10]]], [[22, [22, 14]]], [[20, [20]]], [[24, [24]]], [[29, [29]]], [[6, [6]]], [[28, [28, 18]]], [[28, [17]]], [[15, [15, 12]]], [[9, [9, 30, 21]]], [[25, [25]]], [[8, [8]]]]]",,None,290.948,OK
test_data\data_demand_random\30\C201_3.dat,1,5,857.0,"[[[[0, [11, 27, 6, 16, 14, 22]], [11, []], [9, [9, 17, 12]], [12, []], [14, []], [16, []], [15, [15, 30, 21]], [17, []], [30, []], [6, []], [27, []], [22, []], [21, []], [20, [20]]], [[0, [29, 5, 23, 1, 3, 7, 19, 4, 13]], [24, [24]], [29, []], [28, [28, 2]], [26, [26]], [23, []], [10, [10]], [5, []], [2, []], [3, []], [4, []], [7, []], [1, []], [13, []], [19, []], [18, [18]], [25, [25]], [8, [8]]]], [[[9, [9, 17, 12]]], [[24, [24]]], [[28, [28, 2]]], [[26, [26]]], [[10, [10]]], [[15, [15, 30, 21]]], [[18, [18]]], [[20, [20]]], [[25, [25]]], [[8, [8]]]]]",,None,272.995,OK
test_data\data_demand_random\30\C201_3.dat,2,1,800.0,"[[[[0, [29, 27, 28, 24, 26]], [29, []], [6, [6, 30]], [28, []], [26, []], [30, []], [27, []], [24, []], [20, [20]], [22, [22]]], [[0, [2, 16, 3, 7, 1, 11, 23, 19]], [4, [4, 13, 14, 15, 18]], [3, []], [7, []], [1, []], [2, []], [5, [5]], [8, [8]], [10, [10]], [11, []], [9, [9, 12, 17]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [25, [25, 21]], [21, []]]], [[[6, [6, 30]]], [[4, [14, 15, 18]]], [[4, [4, 13]]], [[5, [5]]], [[8, [8]]], [[10, [10]]], [[9, [9, 12, 17]]], [[20, [20]]], [[22, [22]]], [[25, [25, 21]]]]]",,None,880.316,OK
test_data\data_demand_random\30\C201_3.dat,2,2,797.0,"[[[[0, [23, 19, 1]], [5, [5]], [2, [2]], [1, []], [11, [11, 13]], [10, [10, 16]], [13, [22]], [22, [14]], [20, [20]], [29, [29]], [6, [6, 15]], [28, [28, 18]], [26, [26]], [23, [12, 17, 21]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [21, []], [8, [8]]], [[0, [27, 7, 3, 4]], [4, []], [3, []], [7, []], [9, [9, 25, 30]], [25, []], [30, []], [27, []], [24, [24]]]], [[[5, [5]]], [[2, [2]]], [[11, [11, 13]]], [[10, [10]]], [[10, [16]]], [[13, [22]]], [[22, [14]]], [[20, [20]]], [[29, [29]]], [[6, [6, 15]]], [[28, [28, 18]]], [[26, [26]]], [[23, [12, 17, 21]]], [[8, [8]]], [[9, [9, 30]]], [[9, [25]]], [[24, [24]]]]]",,None,698.175,OK
test_data\data_demand_random\30\C201_3.dat,2,3,791.0,"[[[[0, [27, 24, 26, 23, 6]], [27, []], [30, [30, 28]], [28, []], [26, []], [23, []], [6, []], [29, [29]], [24, []]], [[0, [7, 1, 3, 19]], [5, [5, 18, 13, 14]], [4, [4]], [3, []], [7, []], [1, []], [2, [2, 11, 15]], [11, []], [10, [10]], [8, [8, 16]], [9, [9, 12, 21]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 25]], [13, []], [25, []], [21, []], [22, [22]], [20, [20]]]], [[[5, [18, 14]]], [[5, [5, 13]]], [[4, [4]]], [[2, [11, 15]]], [[2, [2]]], [[10, [10]]], [[8, [16]]], [[8, [8]]], [[9, [9, 12, 21]]], [[30, [30, 28]]], [[29, [29]]], [[17, [17, 25]]], [[22, [22]]], [[20, [20]]]]]",838.0,"[[[[0, [26, 23, 27, 28, 29]], [25, [25]], [23, []], [26, []], [28, []], [6, [6, 21, 22]], [29, []], [27, []], [21, []], [22, []], [24, [24]]], [[0, [7, 1, 3, 19]], [5, [5, 18, 14, 13]], [4, [4]], [3, []], [7, []], [1, []], [2, [2, 15, 11]], [11, []], [10, [10]], [8, [8, 30]], [9, [9, 16, 12, 17]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [30, []], [20, [20]]]], [[[5, [18, 14, 13]]], [[5, [5]]], [[4, [4]]], [[2, [15, 11]]], [[2, [2]]], [[10, [10]]], [[8, [8]]], [[8, [30]], [25, [25]]], [[9, [9, 16]]], [[9, [12, 17]]], [[6, [6, 21]]], [[6, [22]]], [[20, [20]]], [[24, [24]]]]]",744.993,OK
test_data\data_demand_random\30\C201_3.dat,2,4,788.0,"[[[[0, [5, 2, 7, 27]], [8, [8, 21, 22]], [5, []], [7, []], [2, []], [21, []], [22, []], [27, []]], [[0, [16, 26, 23, 19, 11, 3, 1]], [4, [4]], [3, []], [1, []], [11, []], [10, [10, 29, 13, 14]], [23, []], [26, []], [28, [28, 18]], [6, [6, 17]], [18, []], [17, []], [19, []], [15, [15, 12, 9]], [16, []], [12, []], [14, []], [13, []], [9, []], [25, [25, 30]], [30, []], [29, []], [24, [24]], [20, [20]]]], [[[4, [4]]], [[8, [8]]], [[10, [29, 13, 14]]], [[10, [10]]], [[28, [28, 18]]], [[6, [6, 17]]], [[15, [15, 12, 9]]], [[8, [21, 22]]], [[25, [25, 30]]], [[24, [24]]], [[20, [20]]]]]",832.0,"[[[[0, [29, 27, 26]], [22, [22, 24]], [24, []], [29, []], [27, []], [6, [6, 21]], [28, [28]], [26, []], [8, [8]], [21, []], [20, [20]]], [[0, [19, 18, 14, 3, 16, 13, 7, 23, 1]], [5, [5]], [10, [10]], [11, [11]], [2, [2]], [4, [4]], [3, []], [7, []], [1, []], [9, [9, 12, 15, 30]], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, [17, 25]], [13, []], [23, []], [25, []], [30, []]]], [[[5, [5]]], [[10, [10]]], [[11, [11]]], [[2, [2]]], [[4, [4]]], [[22, [22]]], [[9, [30]], [22, [24]]], [[9, [9, 12, 15]]], [[6, [6, 21]]], [[17, [17, 25]]], [[28, [28]]], [[8, [8]]], [[20, [20]]]]]",1327.564,OK
