instance,drone_capacity,drone_limit_time,theta,run,best_fitness,best_sol,best_multi_visit_fitness,best_multi_visit_sol,best_sol_avg_customers_per_drone_trip,best_sol_avg_demand_per_drone_trip,best_multi_visit_sol_avg_customers_per_drone_trip,best_multi_visit_sol_avg_demand_per_drone_trip,runtime_sec,status
test_data\data_demand_random\30\C201_0.5.dat,4,60,3,1,414.0,"[[[[0, [30, 28, 26, 23, 17, 16, 14, 13, 12, 22, 18, 19, 15, 10]], [22, []], [27, [27, 25, 8]], [30, []], [28, []], [26, []], [23, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [13, []], [17, []], [25, []], [10, []], [8, []]], [[0, [1, 5, 4]], [6, [6, 24, 20]], [29, [29]], [24, []], [20, []], [21, [21, 9]], [9, []], [11, [11, 3]], [3, []], [4, []], [7, [7]], [1, []], [2, [2]], [5, []]]], [[[27, [27, 25, 8]]], [[6, [6, 24, 20]]], [[29, [29]]], [[21, [21, 9]]], [[11, [11]]], [[11, [3]]], [[7, [7]]], [[2, [2]]]]]",464.0,"[[[[0, [19, 14, 1, 4]], [20, [20, 24, 16, 12, 10]], [24, []], [9, [9, 15, 17]], [14, []], [12, []], [16, []], [15, []], [19, []], [17, []], [1, []], [7, [7, 3, 8]], [3, []], [4, []], [11, [11]], [10, []], [8, []]], [[0, [29, 28, 26, 23, 30, 22, 18, 13, 5]], [22, []], [21, [21]], [27, [27, 6, 25]], [30, []], [29, []], [6, []], [28, []], [26, []], [23, []], [18, []], [13, []], [25, []], [2, [2]], [5, []]]], [[[20, [10]]], [[20, [16, 12]]], [[20, [20, 24]]], [[9, [17]], [21, [21]]], [[9, [9, 15]]], [[27, [27, 6, 25]]], [[7, [3]]], [[7, [7, 8]]], [[2, [2]]], [[11, [11]]]]]",1.625,3.75,1.7,3.5,355.969,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,3,2,408.0,"[[[[0, [3, 10, 1, 4, 5, 22]], [5, [24, 7]], [2, [2]], [1, []], [7, []], [3, []], [4, []], [11, [11]], [10, []], [25, [25, 6, 27]], [27, []], [6, []], [29, [29]], [24, []], [22, []]], [[0, [16, 14, 19, 17, 18, 15, 23, 26, 28, 30, 13]], [8, [8, 12, 9, 21, 20]], [9, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [21, []], [20, []]]], [[[5, [24, 7]]], [[2, [2]]], [[8, [8, 12, 21]]], [[8, [9, 20]]], [[11, [11]]], [[25, [25, 6, 27]]], [[29, [29]]]]]",,None,1.857143,3.857143,,,405.087,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,3,3,404.0,"[[[[0, [1, 5, 13]], [5, []], [4, [4, 7, 3]], [3, []], [7, []], [1, []], [2, [2]], [9, [9, 17, 27]], [17, []], [13, []], [25, [25, 6, 24]], [27, []], [6, []], [29, [29]], [24, []]], [[0, [14, 16, 15, 26, 28, 30, 23, 18, 19, 22]], [8, [8, 10]], [10, []], [11, [11, 12, 21, 20]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [21, []], [22, []], [20, []]]], [[[4, [3]]], [[8, [8, 10]]], [[4, [4, 7]]], [[11, [11]]], [[11, [12, 21, 20]]], [[2, [2]]], [[9, [17, 27]]], [[9, [9]]], [[25, [25, 6, 24]]], [[29, [29]]]]]",,None,1.7,3.7,,,346.029,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,3,4,412.0,"[[[[0, [1]], [2, [2, 3]], [1, []], [4, [4, 10, 7, 6, 21]], [3, []], [7, []], [11, [11, 8]], [10, []], [8, []], [9, [9]], [21, []], [6, []], [29, [29, 20, 24]], [24, []], [20, []]], [[0, [14, 19, 17, 18, 16, 13, 5, 22, 28, 26, 30, 23]], [5, []], [25, [25, 12, 15, 27]], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [27, []], [22, []]]], [[[2, [2]]], [[2, [3]]], [[4, [4, 10]]], [[4, [7, 6, 21]]], [[25, [25, 12, 15, 27]]], [[11, [11]]], [[11, [8]]], [[9, [9]]], [[29, [29]]], [[29, [20, 24]]]]]",,None,1.7,3.5,,,366.525,OK
test_data\data_demand_random\30\C201_0.5.dat,4,60,3,5,408.0,"[[[[0, [3, 4, 1, 5, 13]], [5, []], [4, []], [3, []], [7, [7, 6]], [1, []], [2, [2]], [11, [11]], [9, [9, 17, 27]], [13, []], [17, []], [6, []], [29, [29, 20, 24]], [27, []], [24, []], [20, []]], [[0, [18, 28, 30, 23, 26, 10, 19, 22, 14]], [8, [8, 25, 21, 12, 15, 16]], [10, []], [25, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []], [21, []], [22, []]]], [[[8, [12, 15, 16]]], [[8, [8, 25, 21]]], [[7, [7, 6]]], [[2, [2]]], [[11, [11]]], [[9, [9, 27]]], [[9, [17]]], [[29, [29]]], [[29, [20, 24]]]]]",450.0,"[[[[0, [13, 1, 5, 17, 3, 22, 30]], [21, [21]], [22, []], [30, []], [25, [25, 7, 4]], [13, []], [17, []], [1, []], [7, []], [3, []], [4, []], [5, []], [2, [2]]], [[0, [18, 19, 16, 14, 23, 26, 28]], [8, [8, 10]], [10, []], [11, [11]], [9, [9, 15, 12, 6, 27]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [23, []], [26, []], [28, []], [6, []], [29, [29, 20, 24]], [27, []], [24, []], [20, []]]], [[[8, [8, 10]]], [[11, [11]]], [[9, [9, 15]]], [[9, [12, 6, 27]], [21, [21]]], [[29, [29]]], [[29, [20, 24]]], [[25, [25, 7, 4]]], [[2, [2]]]]]",1.777778,3.666667,2.0,3.875,325.938,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,1,1,424.0,"[[[[0, [5, 2, 1, 13, 10, 7, 4, 30, 22, 17]], [5, []], [2, []], [1, []], [7, []], [3, [3, 21, 25, 27, 20]], [4, []], [10, []], [25, []], [13, []], [17, []], [30, []], [27, []], [22, []], [21, []], [20, []]], [[0, [28, 26, 23, 14, 18]], [24, [24, 16]], [29, [29]], [6, [6, 15, 8]], [28, []], [26, []], [23, []], [18, []], [19, [19]], [15, []], [16, []], [14, []], [12, [12, 9]], [9, []], [11, [11]], [8, []]]], [[[24, [24, 16]]], [[3, [3]]], [[29, [29]]], [[6, [6, 15, 8]]], [[3, [21, 25, 27, 20]]], [[19, [19]]], [[12, [12, 9]]], [[11, [11]]]]]",,None,1.875,3.875,,,134.47,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,1,2,404.0,"[[[[0, [5, 1]], [5, []], [3, [3, 7, 4]], [4, []], [7, []], [1, []], [2, [2, 24, 10]], [9, [9, 27]], [11, [11, 21, 8, 6]], [10, []], [8, []], [21, []], [27, []], [29, [29]], [6, []], [24, []]], [[0, [13, 17, 19, 14, 30, 28, 26, 23, 18, 16, 22]], [20, [20, 15, 25, 12]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [17, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [25, []]]], [[[3, [3]]], [[20, [20, 15, 25, 12]]], [[3, [7, 4]]], [[2, [2]]], [[2, [24, 10]]], [[9, [9, 27]]], [[11, [11]]], [[11, [21, 8, 6]]], [[29, [29]]]]]",,None,1.888889,3.888889,,,138.475,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,1,3,413.0,"[[[[0, [19, 18, 13, 14, 16, 17, 23, 26, 28, 30, 10, 22]], [8, [8, 15]], [10, []], [9, [9, 12]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [18, []], [17, []], [23, []], [26, []], [28, []], [30, []], [22, []]], [[0, [1, 5]], [5, []], [7, [7, 4, 3]], [3, []], [4, []], [1, []], [2, [2]], [11, [11]], [25, [25, 6, 27, 21]], [6, []], [29, [29, 20, 24]], [24, []], [27, []], [21, []], [20, []]]], [[[7, [3]]], [[8, [8, 15]]], [[7, [7, 4]]], [[9, [9, 12]]], [[2, [2]]], [[11, [11]]], [[25, [25, 6, 27, 21]]], [[29, [29]]], [[29, [20, 24]]]]]",,None,1.777778,3.666667,,,109.59,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,1,4,415.0,"[[[[0, [28, 10, 11, 9, 26, 8, 23, 30, 22]], [8, []], [10, []], [11, []], [9, []], [23, []], [26, []], [28, []], [6, [6, 27, 20]], [29, [29]], [30, []], [27, []], [24, [24]], [22, []], [20, []]], [[0, [5, 14, 16, 1, 18, 19, 13]], [5, []], [2, [2, 7, 4]], [7, []], [4, []], [3, [3]], [1, []], [12, [12, 15, 25, 17, 21]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [25, []], [21, []]]], [[[2, [2]]], [[2, [7, 4]]], [[3, [3]]], [[12, [17, 21]]], [[12, [12, 15, 25]]], [[6, [6, 27, 20]]], [[29, [29]]], [[24, [24]]]]]",,None,1.75,3.375,,,149.172,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,1,5,422.0,"[[[[0, [3, 7, 1, 2, 29, 24, 5]], [8, [8, 4]], [5, []], [4, []], [3, []], [7, []], [1, []], [2, []], [11, [11, 20, 9]], [9, []], [25, [25]], [29, []], [6, [6]], [24, []], [20, []]], [[0, [28, 26, 23, 18, 19, 15, 16, 12, 22, 30, 14, 17, 13]], [21, [21, 27, 10]], [22, []], [27, []], [30, []], [28, []], [26, []], [23, []], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [13, []], [10, []]]], [[[8, [8, 4]]], [[11, [11]]], [[11, [20, 9]]], [[21, [21, 27, 10]]], [[25, [25]]], [[6, [6]]]]]",,None,1.666667,2.833333,,,101.116,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,2,1,404.0,"[[[[0, [29, 1, 5]], [5, []], [4, [4, 7]], [3, [3]], [7, []], [1, []], [2, [2, 9]], [10, [10, 24]], [11, [11, 21, 27, 6]], [9, []], [21, []], [27, []], [6, []], [29, []], [24, []]], [[0, [18, 26, 28, 13, 23, 30, 15, 19, 17, 16, 22, 20, 14]], [8, [8, 25, 12]], [25, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]]], [[[4, [4, 7]]], [[8, [8, 25, 12]]], [[3, [3]]], [[2, [9]]], [[2, [2]]], [[10, [10, 24]]], [[11, [11]]], [[11, [21, 27, 6]]]]]",437.0,"[[[[0, [5]], [2, [2, 10, 4, 1]], [1, []], [4, []], [3, [3]], [7, [7]], [5, []], [10, []], [11, [11, 9, 27]], [9, []], [27, []], [29, [29, 20, 6, 21]], [6, []], [21, []], [20, []]], [[0, [18, 26, 28, 13, 23, 30, 15, 14, 19, 17, 22, 16]], [22, []], [24, [24]], [25, [25, 8, 12]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [8, []]]], [[[2, [1]]], [[2, [2]]], [[2, [10, 4]]], [[3, [3]]], [[7, [7]], [24, [24]]], [[25, [25, 8, 12]]], [[11, [11]]], [[11, [9, 27]]], [[29, [29]]], [[29, [20, 6, 21]]]]]",1.75,3.625,1.7,3.8,325.644,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,2,2,408.0,"[[[[0, [5, 1]], [5, []], [4, [4, 10, 7, 24]], [3, [3]], [7, []], [1, []], [2, [2]], [9, [9, 20, 21, 27]], [11, [11]], [10, []], [8, [8, 6]], [21, []], [27, []], [6, []], [29, [29]], [24, []], [20, []]], [[0, [26, 28, 19, 22, 23, 13, 18, 30, 14, 16, 15, 17]], [22, []], [25, [25, 12]], [17, []], [13, []], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []]]], [[[4, [4, 10]]], [[4, [7, 24]]], [[3, [3]]], [[2, [2]]], [[25, [25, 12]]], [[9, [9, 20]]], [[9, [21, 27]]], [[11, [11]]], [[8, [8, 6]]], [[29, [29]]]]]",,None,1.6,3.4,,,428.75,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,2,3,410.0,"[[[[0, [30, 28, 26, 23, 19, 13, 18, 17, 16, 22, 15, 14, 12, 21]], [20, [20, 9]], [21, []], [30, []], [28, []], [26, []], [23, []], [17, []], [18, []], [19, []], [15, []], [16, []], [12, []], [14, []], [13, []], [9, []], [22, []]], [[0, [29, 2, 5, 1]], [24, [24, 10]], [29, []], [6, [6, 4, 7]], [27, [27, 25, 8]], [25, []], [11, [11]], [2, []], [1, []], [7, []], [3, [3]], [4, []], [5, []], [10, []], [8, []]]], [[[20, [20, 9]]], [[24, [24, 10]]], [[6, [6, 4, 7]]], [[27, [27, 25, 8]]], [[11, [11]]], [[3, [3]]]]]",437.52277622223573,"[[[[0, [3, 1, 4, 22, 5]], [4, []], [3, []], [7, [7, 21]], [1, []], [2, [2]], [11, [11, 10]], [5, []], [10, []], [8, [8, 24]], [21, []], [20, [20, 6, 27]], [27, []], [6, []], [29, [29]], [24, []], [22, []]], [[0, [26, 28, 23, 19, 14, 16, 18, 30, 13]], [9, [9, 25, 15, 17]], [25, []], [17, []], [13, []], [15, []], [14, []], [12, [12]], [16, []], [19, []], [18, []], [23, []], [26, []], [28, []], [30, []]]], [[[7, [7, 21]]], [[9, [15, 17]]], [[9, [9, 25]]], [[2, [2]]], [[11, [11]]], [[12, [12]], [11, [10]]], [[8, [8, 24]]], [[20, [20, 6, 27]]], [[29, [29]]]]]",2.0,4.0,1.777778,3.666667,297.201,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,2,4,408.0,"[[[[0, [5, 1]], [5, []], [2, [2, 4, 24]], [1, []], [7, [7, 10]], [3, [3, 6, 27, 20]], [4, []], [11, [11, 21, 9]], [10, []], [9, []], [21, []], [27, []], [24, []], [29, [29]], [6, []], [20, []]], [[0, [19, 30, 28, 26, 22, 23, 18, 13, 17, 14, 16, 15]], [22, []], [30, []], [28, []], [26, []], [23, []], [18, []], [19, []], [12, [12, 8, 25]], [14, []], [16, []], [15, []], [17, []], [13, []], [25, []], [8, []]]], [[[2, [2]]], [[2, [4, 24]]], [[7, [7, 10]]], [[3, [3]]], [[3, [6, 27, 20]]], [[11, [11]]], [[11, [21, 9]]], [[12, [12, 8, 25]]], [[29, [29]]]]]",441.0,"[[[[0, [5, 11, 1]], [5, []], [7, [7, 10]], [3, [3]], [4, [4, 9]], [1, []], [2, [2, 21, 27]], [11, []], [9, []], [25, [25, 8, 6]], [10, []], [8, []], [21, []], [27, []], [6, []], [29, [29, 20, 24]], [24, []], [20, []]], [[0, [22, 13, 28, 19, 26, 18, 16, 14, 30, 23]], [22, []], [17, [17]], [18, []], [13, []], [16, []], [14, []], [12, [12, 15]], [15, []], [19, []], [23, []], [26, []], [28, []], [30, []]]], [[[7, [7, 10]]], [[3, [3]]], [[4, [4, 9]]], [[2, [2]]], [[17, [17]]], [[2, [21, 27]], [12, [12, 15]]], [[25, [25, 8, 6]]], [[29, [29]]], [[29, [20, 24]]]]]",1.777778,3.777778,1.888889,3.777778,307.903,OK
test_data\data_demand_random\30\C201_0.5.dat,4,120,2,5,404.0,"[[[[0, [5, 1]], [5, []], [4, [4, 10]], [3, [3, 7, 24]], [7, []], [1, []], [2, [2]], [9, [9, 21]], [11, [11, 8, 27, 6]], [10, []], [8, []], [21, []], [27, []], [6, []], [29, [29]], [24, []]], [[0, [14, 19, 17, 15, 18, 13, 16, 23, 26, 28, 22, 30]], [25, [25, 12, 20]], [13, []], [14, []], [12, []], [16, []], [15, []], [19, []], [17, []], [18, []], [23, []], [26, []], [28, []], [30, []], [22, []], [20, []]]], [[[4, [4, 10]]], [[3, [3]]], [[3, [7, 24]]], [[25, [25, 12, 20]]], [[2, [2]]], [[9, [9, 21]]], [[11, [11]]], [[11, [8, 27, 6]]], [[29, [29]]]]]",464.3793203340211,"[[[[0, [1, 5, 30, 10, 7]], [5, []], [4, [4]], [3, [3]], [7, []], [1, []], [2, [2]], [10, []], [11, [11]], [25, [25, 24]], [8, [8, 21, 27]], [21, []], [27, []], [30, []], [24, []]], [[0, [18, 19, 22, 16, 13, 14, 23, 26, 28]], [22, []], [9, [9, 12, 17]], [12, []], [16, []], [15, [15, 6, 20]], [19, []], [18, []], [17, []], [13, []], [14, []], [23, []], [26, []], [28, []], [6, []], [29, [29]], [20, []]]], [[[9, [17]], [4, [4]]], [[9, [9, 12]]], [[3, [3]]], [[15, [15, 6, 20]]], [[29, [29]]], [[2, [2]]], [[11, [11]]], [[25, [25, 24]]], [[8, [8, 21, 27]]]]]",1.777778,3.777778,1.777778,3.777778,364.553,OK
