rank,manhattan_distance,truck_time,truck1_city,truck2_city,truck1_route_index,truck2_route_index
98,11,22.000,2,11,17,1
99,11,22.000,22,30,29,3
100,11,22.000,37,34,22,5
101,12,24.000,10,1,3,21
102,12,24.000,13,19,7,16
103,12,24.000,14,19,8,16
104,12,24.000,28,20,21,15
105,12,24.000,31,34,4,5
106,12,24.000,49,40,9,10
107,13,26.000,23,29,28,2
108,13,26.000,35,34,20,5
109,13,26.000,38,34,23,5
110,15,30.000,12,19,6,16
111,15,30.000,16,18,14,17
112,15,30.000,32,39,5,8
113,15,30.000,35,39,20,8
114,15,30.000,47,20,11,15
115,17,34.000,14,18,8,17
116,17,34.000,47,21,11,9
117,17,34.000,49,20,9,15
118,18,36.000,46,20,12,15
119,19,38.000,10,21,3,9
120,19,38.000,13,11,7,1
121,19,38.000,24,50,27,14
122,19,38.000,31,50,4,14
123,19,38.000,49,21,9,9
124,20,40.000,12,18,6,17
125,20,40.000,31,39,4,8
126,20,40.000,32,29,5,2
127,20,40.000,36,29,19,2
128,20,40.000,46,21,12,9
129,21,42.000,10,20,3,15
130,21,42.000,23,11,28,1
131,21,42.000,25,50,26,14
132,22,44.000,13,30,7,3
133,22,44.000,17,30,13,3
134,22,44.000,22,43,29,13
135,22,44.000,22,50,29,14
136,22,44.000,24,34,27,5
137,22,44.000,27,34,24,5
138,22,44.000,48,20,10,15
139,23,46.000,17,11,13,1
140,23,46.000,23,7,28,18
141,23,46.000,24,43,27,13
142,23,46.000,27,50,24,14
143,23,46.000,31,43,4,13
144,23,46.000,49,29,9,2
145,24,48.000,8,21,1,9
146,24,48.000,13,6,7,20
147,24,48.000,22,11,29,1
148,24,48.000,22,45,29,6
149,24,48.000,23,5,28,19
150,24,48.000,25,34,26,5
151,24,48.000,26,11,25,1
152,24,48.000,26,50,25,14
153,24,48.000,32,50,5,14
154,24,48.000,35,50,20,14
155,24,48.000,48,21,10,9
156,25,50.000,15,30,15,3
157,25,50.000,22,42,29,12
158,25,50.000,23,43,28,13
159,25,50.000,23,50,28,14
160,25,50.000,24,45,27,6
161,25,50.000,25,43,26,13
162,25,50.000,28,34,21,5
163,25,50.000,31,29,4,2
164,25,50.000,31,45,4,6
165,25,50.000,32,30,5,3
166,25,50.000,36,30,19,3
167,25,50.000,47,29,11,2
168,25,50.000,49,33,9,4
169,26,52.000,3,21,18,9
170,26,52.000,8,20,1,15
171,26,52.000,9,21,2,9
172,26,52.000,10,30,3,3
173,26,52.000,12,11,6,1
174,26,52.000,15,11,15,1
175,26,52.000,22,7,29,18
176,26,52.000,22,44,29,7
177,26,52.000,23,6,28,20
178,26,52.000,24,42,27,12
179,26,52.000,26,7,25,18
180,26,52.000,28,11,21,1
181,26,52.000,28,50,21,14
182,26,52.000,31,42,4,12
183,27,54.000,13,7,7,18
184,27,54.000,13,29,7,2
185,27,54.000,17,29,13,2
186,27,54.000,22,5,29,19
187,27,54.000,22,34,29,5
188,27,54.000,22,41,29,11
189,27,54.000,23,45,28,6
190,27,54.000,24,33,27,4
191,27,54.000,24,44,27,7
192,27,54.000,25,11,26,1
193,27,54.000,25,45,26,6
194,27,54.000,26,5,25,19
195,27,54.000,26,34,25,5
196,27,54.000,27,33,24,4
197,27,54.000,27,43,24,13
198,27,54.000,31,44,4,7
199,27,54.000,47,33,11,4
200,28,56.000,3,20,18,15
201,28,56.000,4,21,16,9
202,28,56.000,9,18,2,17
203,28,56.000,9,20,2,15
204,28,56.000,17,6,13,20
205,28,56.000,23,42,28,12
206,28,56.000,24,41,27,11
207,28,56.000,25,42,26,12
208,28,56.000,26,43,25,13
209,28,56.000,28,7,21,18
210,28,56.000,28,18,21,17
211,28,56.000,31,41,4,11
212,28,56.000,32,43,5,13
213,28,56.000,35,43,20,13
214,28,56.000,37,29,22,2
215,28,56.000,46,29,12,2
216,28,56.000,48,29,10,2
217,28,56.000,49,30,9,3
218,29,58.000,10,18,3,17
219,29,58.000,14,11,8,1
220,29,58.000,22,6,29,20
221,29,58.000,22,40,29,10
222,29,58.000,23,44,28,7
223,29,58.000,24,11,27,1
224,29,58.000,25,7,26,18
225,29,58.000,25,33,26,4
226,29,58.000,25,44,26,7
227,29,58.000,26,6,25,20
228,29,58.000,27,11,24,1
229,29,58.000,27,45,24,6
230,29,58.000,28,5,21,19
231,30,60.000,4,20,16,15
232,30,60.000,8,18,1,17
233,30,60.000,13,1,7,21
234,30,60.000,13,5,7,19
235,30,60.000,15,29,15,2
236,30,60.000,16,30,14,3
237,30,60.000,23,1,28,21
238,30,60.000,23,34,28,5
239,30,60.000,23,41,28,11
240,30,60.000,24,39,27,8
241,30,60.000,24,40,27,10
242,30,60.000,25,5,26,19
243,30,60.000,25,41,26,11
244,30,60.000,26,18,25,17
245,30,60.000,26,45,25,6
246,30,60.000,27,39,24,8
247,30,60.000,27,42,24,12
248,30,60.000,28,33,21,4
249,30,60.000,28,43,21,13
250,30,60.000,31,30,4,3
251,30,60.000,31,40,4,10
252,30,60.000,32,20,5,15
253,30,60.000,32,45,5,6
254,30,60.000,35,29,20,2
255,30,60.000,35,45,20,6
256,30,60.000,36,20,19,15
257,30,60.000,38,29,23,2
258,30,60.000,46,33,12,4
259,30,60.000,47,30,11,3
260,30,60.000,48,33,10,4
261,30,60.000,49,34,9,5
262,31,62.000,8,30,1,3
263,31,62.000,10,29,3,2
264,31,62.000,12,6,6,20
265,31,62.000,13,21,7,9
266,31,62.000,15,6,15,20
267,31,62.000,16,11,14,1
268,31,62.000,17,7,13,18
269,31,62.000,24,7,27,18
270,31,62.000,26,42,25,12
271,31,62.000,27,7,24,18
272,31,62.000,27,18,24,17
273,31,62.000,27,44,24,7
274,31,62.000,28,6,21,20
275,31,62.000,32,42,5,12
276,31,62.000,35,42,20,12
277,32,64.000,14,30,8,3
278,32,64.000,22,33,29,4
279,32,64.000,23,40,28,10
280,32,64.000,24,5,27,19
281,32,64.000,25,6,26,20
282,32,64.000,25,39,26,8
283,32,64.000,25,40,26,10
284,32,64.000,26,33,25,4
285,32,64.000,26,44,25,7
286,32,64.000,27,5,24,19
287,32,64.000,27,41,24,11
288,32,64.000,28,45,21,6
289,32,64.000,32,21,5,9
290,32,64.000,32,44,5,7
291,32,64.000,35,44,20,7
292,32,64.000,36,21,19,9
293,32,64.000,37,50,22,14
294,32,64.000,47,34,11,5
295,33,66.000,2,21,17,9
296,33,66.000,3,30,18,3
297,33,66.000,9,19,2,16
298,33,66.000,9,30,2,3
299,33,66.000,10,43,3,13
300,33,66.000,13,20,7,15
301,33,66.000,22,1,29,21
302,33,66.000,23,18,28,17
303,33,66.000,25,18,26,17
304,33,66.000,26,1,25,21
305,33,66.000,26,41,25,11
306,33,66.000,28,19,21,16
307,33,66.000,28,39,21,8
308,33,66.000,28,42,21,12
309,33,66.000,32,41,5,11
310,33,66.000,35,41,20,11
311,33,66.000,37,30,22,3
312,33,66.000,46,30,12,3
313,33,66.000,48,30,10,3
314,34,68.000,4,18,16,17
315,34,68.000,10,19,3,16
316,34,68.000,10,41,3,11
317,34,68.000,12,7,6,18
318,34,68.000,14,6,8,20
319,34,68.000,15,7,15,18
320,34,68.000,17,1,13,21
321,34,68.000,17,5,13,19
322,34,68.000,24,6,27,20
323,34,68.000,27,6,24,20
324,34,68.000,27,40,24,10
325,34,68.000,28,44,21,7
326,34,68.000,36,50,19,14
327,34,68.000,38,50,23,14
328,35,70.000,2,18,17,17
329,35,70.000,2,20,17,15
330,35,70.000,4,30,16,3
331,35,70.000,8,19,1,16
332,35,70.000,12,30,6,3
333,35,70.000,16,29,14,2
334,35,70.000,17,21,13,9
335,35,70.000,22,39,29,8
336,35,70.000,23,33,28,4
337,35,70.000,24,18,27,17
338,35,70.000,26,19,25,16
339,35,70.000,26,39,25,8
340,35,70.000,26,40,25,10
341,35,70.000,28,1,21,21
342,35,70.000,28,41,21,11
343,35,70.000,31,20,4,15
344,35,70.000,32,40,5,10
345,35,70.000,35,30,20,3
346,35,70.000,35,40,20,10
347,35,70.000,38,30,23,3
348,35,70.000,46,34,12,5
349,35,70.000,48,34,10,5
350,36,72.000,3,18,18,17
351,36,72.000,8,29,1,2
352,36,72.000,10,40,3,10
353,36,72.000,10,42,3,12
354,36,72.000,16,6,14,20
355,36,72.000,22,18,29,17
356,36,72.000,25,1,26,21
357,36,72.000,27,19,24,16
358,36,72.000,37,43,22,13
359,37,74.000,12,1,6,21
360,37,74.000,12,5,6,19
361,37,74.000,14,7,8,18
362,37,74.000,14,29,8,2
363,37,74.000,15,1,15,21
364,37,74.000,15,5,15,19
365,37,74.000,17,20,13,15
366,37,74.000,28,40,21,10
367,37,74.000,31,21,4,9
368,38,76.000,3,29,18,2
369,38,76.000,8,43,1,13
370,38,76.000,9,29,2,2
371,38,76.000,12,21,6,9
372,38,76.000,15,21,15,9
373,38,76.000,23,19,28,16
374,38,76.000,23,39,28,8
375,38,76.000,24,1,27,21
376,38,76.000,25,19,26,16
377,38,76.000,27,1,24,21
378,38,76.000,36,43,19,13
379,38,76.000,37,20,22,15
380,38,76.000,37,45,22,6
381,38,76.000,38,43,23,13
382,38,76.000,49,39,9,8
383,39,78.000,4,19,16,16
384,39,78.000,8,41,1,11
385,39,78.000,10,44,3,7
386,39,78.000,16,7,14,18
387,39,78.000,37,42,22,12
388,39,78.000,47,11,11,1
389,40,80.000,2,19,17,16
390,40,80.000,2,30,17,3
391,40,80.000,3,43,18,13
392,40,80.000,4,29,16,2
393,40,80.000,9,43,2,13
394,40,80.000,12,20,6,15
395,40,80.000,12,29,6,2
396,40,80.000,14,1,8,21
397,40,80.000,14,5,8,19
398,40,80.000,15,20,15,15
399,40,80.000,17,34,13,5
400,40,80.000,24,19,27,16
401,40,80.000,32,18,5,17
402,40,80.000,35,20,20,15
403,40,80.000,36,18,19,17
404,40,80.000,36,45,19,6
405,40,80.000,37,21,22,9
406,40,80.000,37,44,22,7
407,40,80.000,38,20,23,15
408,40,80.000,38,45,23,6
409,40,80.000,47,39,11,8
410,41,82.000,3,19,18,16
411,41,82.000,3,41,18,11
412,41,82.000,8,40,1,10
413,41,82.000,8,42,1,12
414,41,82.000,9,41,2,11
415,41,82.000,10,45,3,6
416,41,82.000,14,21,8,9
417,41,82.000,22,19,29,16
418,41,82.000,36,42,19,12
419,41,82.000,37,41,22,11
420,41,82.000,38,42,23,12
421,41,82.000,47,7,11,18
422,41,82.000,49,11,9,1
423,42,84.000,4,43,16,13
424,42,84.000,16,1,14,21
425,42,84.000,16,5,14,19
426,42,84.000,35,21,20,9
427,42,84.000,36,44,19,7
428,42,84.000,38,21,23,9
429,42,84.000,38,44,23,7
430,42,84.000,46,11,12,1
431,42,84.000,47,5,11,19
432,43,86.000,3,40,18,10
433,43,86.000,3,42,18,12
434,43,86.000,4,41,16,11
435,43,86.000,9,40,2,10
436,43,86.000,9,42,2,12
437,43,86.000,10,50,3,14
438,43,86.000,14,20,8,15
439,43,86.000,16,21,14,9
440,43,86.000,36,41,19,11
441,43,86.000,37,40,22,10
442,43,86.000,38,41,23,11
443,43,86.000,46,39,12,8
444,43,86.000,48,39,10,8
445,43,86.000,49,7,9,18
446,44,88.000,8,44,1,7
447,44,88.000,13,34,7,5
448,44,88.000,46,7,12,18
449,44,88.000,47,6,11,20
450,44,88.000,49,5,9,19
451,45,90.000,2,29,17,2
452,45,90.000,4,40,16,10
453,45,90.000,4,42,16,12
454,45,90.000,16,20,14,15
455,45,90.000,17,33,13,4
456,45,90.000,31,18,4,17
457,45,90.000,32,19,5,16
458,45,90.000,36,19,19,16
459,45,90.000,36,40,19,10
460,45,90.000,38,40,23,10
461,45,90.000,46,5,12,19
462,46,92.000,3,44,18,7
463,46,92.000,8,45,1,6
464,46,92.000,9,44,2,7
465,46,92.000,48,11,10,1
466,46,92.000,49,6,9,20
467,47,94.000,2,43,17,13
468,47,94.000,13,50,7,14
469,47,94.000,15,34,15,5
470,47,94.000,46,6,12,20
471,48,96.000,2,41,17,11
472,48,96.000,3,45,18,6
473,48,96.000,4,44,16,7
474,48,96.000,8,50,1,14
475,48,96.000,9,45,2,6
476,48,96.000,10,34,3,5
477,48,96.000,17,39,13,8
478,48,96.000,37,18,22,17
479,48,96.000,47,1,11,21
480,48,96.000,48,7,10,18
481,49,98.000,13,33,7,4
482,49,98.000,48,5,10,19
483,50,100.000,2,40,17,10
484,50,100.000,2,42,17,12
485,50,100.000,3,50,18,14
486,50,100.000,4,45,16,6
487,50,100.000,9,50,2,14
488,50,100.000,31,19,4,16
489,50,100.000,35,18,20,17
490,50,100.000,38,18,23,17
491,50,100.000,49,1,9,21
492,51,102.000,13,43,7,13
493,51,102.000,17,50,13,14
494,51,102.000,46,1,12,21
495,51,102.000,48,6,10,20
496,52,104.000,4,50,16,14
497,52,104.000,13,39,7,8
498,52,104.000,15,33,15,4
499,52,104.000,16,34,14,5
500,53,106.000,2,44,17,7
501,53,106.000,8,34,1,5
502,53,106.000,10,33,3,4
503,53,106.000,13,45,7,6
504,53,106.000,37,19,22,16
505,53,106.000,49,18,9,17
506,54,108.000,12,50,6,14
507,54,108.000,13,42,7,12
508,54,108.000,14,34,8,5
509,54,108.000,15,50,15,14
510,54,108.000,32,11,5,1
511,54,108.000,36,11,19,1
512,55,110.000,2,45,17,6
513,55,110.000,3,34,18,5
514,55,110.000,9,34,2,5
515,55,110.000,13,44,7,7
516,55,110.000,15,39,15,8
517,55,110.000,17,43,13,13
518,55,110.000,35,19,20,16
519,55,110.000,38,19,23,16
520,55,110.000,47,18,11,17
521,55,110.000,48,1,10,21
522,56,112.000,10,39,3,8
523,56,112.000,13,41,7,11
524,56,112.000,32,7,5,18
525,56,112.000,36,7,19,18
526,57,114.000,2,50,17,14
527,57,114.000,4,34,16,5
528,57,114.000,12,34,6,5
529,57,114.000,14,50,8,14
530,57,114.000,16,33,14,4
531,57,114.000,17,45,13,6
532,57,114.000,32,5,5,19
533,57,114.000,36,5,19,19
534,58,116.000,8,33,1,4
535,58,116.000,12,43,6,13
536,58,116.000,13,40,7,10
537,58,116.000,15,43,15,13
538,58,116.000,17,42,13,12
539,58,116.000,46,18,12,17
540,58,116.000,48,18,10,17
541,58,116.000,49,19,9,16
542,59,118.000,14,33,8,4
543,59,118.000,16,50,14,14
544,59,118.000,17,44,13,7
545,59,118.000,31,11,4,1
546,59,118.000,32,6,5,20
547,59,118.000,36,6,19,20
548,60,120.000,3,33,18,4
549,60,120.000,9,33,2,4
550,60,120.000,12,45,6,6
551,60,120.000,15,45,15,6
552,60,120.000,16,39,14,8
553,60,120.000,17,41,13,11
554,60,120.000,47,19,11,16
555,61,122.000,8,39,1,8
556,61,122.000,12,42,6,12
557,61,122.000,14,43,8,13
558,61,122.000,15,42,15,12
559,61,122.000,31,7,4,18
560,62,124.000,2,34,17,5
561,62,124.000,4,33,16,4
562,62,124.000,12,33,6,4
563,62,124.000,12,44,6,7
564,62,124.000,14,39,8,8
565,62,124.000,15,44,15,7
566,62,124.000,17,40,13,10
567,62,124.000,31,5,4,19
568,62,124.000,37,11,22,1
569,63,126.000,3,39,18,8
570,63,126.000,9,39,2,8
571,63,126.000,12,41,6,11
572,63,126.000,14,45,8,6
573,63,126.000,15,41,15,11
574,63,126.000,16,43,14,13
575,63,126.000,32,1,5,21
576,63,126.000,36,1,19,21
577,63,126.000,46,19,12,16
578,63,126.000,48,19,10,16
579,64,128.000,14,42,8,12
580,64,128.000,31,6,4,20
581,64,128.000,35,11,20,1
582,64,128.000,37,7,22,18
583,64,128.000,38,11,23,1
584,65,130.000,4,39,16,8
585,65,130.000,12,39,6,8
586,65,130.000,12,40,6,10
587,65,130.000,14,44,8,7
588,65,130.000,15,40,15,10
589,65,130.000,16,45,14,6
590,65,130.000,37,5,22,19
591,66,132.000,14,41,8,11
592,66,132.000,16,42,14,12
593,66,132.000,35,7,20,18
594,66,132.000,38,7,23,18
595,67,134.000,2,33,17,4
596,67,134.000,16,44,14,7
597,67,134.000,35,5,20,19
598,67,134.000,37,6,22,20
599,67,134.000,38,5,23,19
600,68,136.000,14,40,8,10
601,68,136.000,16,41,14,11
602,68,136.000,31,1,4,21
603,69,138.000,35,6,20,20
604,69,138.000,38,6,23,20
605,70,140.000,2,39,17,8
606,70,140.000,16,40,14,10
607,71,142.000,37,1,22,21
608,73,146.000,35,1,20,21
609,73,146.000,38,1,23,21
